# x_m,y_m,w_tr_right_m,w_tr_left_m
0,0,6,6
4.28322014,-7.00171,6,6
8.56643413,-14.00342,6,6
12.84964195,-21.00514,6,6
17.13284362,-28.00686,6,6
21.41603914,-35.00859,6,6
25.69922849,-42.01033,6,6
29.98241169,-49.01208,6,6
34.26558873,-56.01383,6,6
38.54875961,-63.01559,6,6
42.87059554,-69.97458,6,6
47.28122494,-76.83555,6,6
51.59566791,-83.80394,6,6
55.91010483,-90.77234,6,6
60.22486573,-97.74074,6,6
64.53914996,-104.70915,6,6
68.85337928,-111.67757,6,6
73.16779199,-118.64599,6,6
77.48219866,-125.61442,6,6
81.79659927,-132.58286,6,6
86.11099384,-139.5513,6,6
90.42538235,-146.51975,6,6
94.73986573,-153.48821,6,6
99.05414123,-160.45667,6,6
103.3685111,-167.42529,6,6
107.6828754,-174.39377,6,6
111.9972336,-181.36225,6,6
116.3115853,-188.3309,6,6
120.6259315,-195.29939,6,6
124.9402711,-202.26805,6,6
129.2546051,-209.23656,6,6
133.5689326,-216.20523,6,6
137.8829288,-223.17375,6,6
142.19757,-230.14244,6,6
146.5118793,-237.11113,6,6
150.8261831,-244.07967,6,6
155.1404803,-251.04837,6,6
159.4547715,-258.01708,6,6
163.7690566,-264.9858,6,6
168.0833357,-271.95452,6,6
172.3976087,-278.92325,6,6
176.7118757,-285.89199,6,6
181.0258657,-292.86073,6,6
185.3403915,-299.82948,6,6
189.6546403,-306.79824,6,6
193.9696091,-313.76701,6,6
198.2831198,-320.73577,6,6
202.5316688,-327.77239,6,6
206.63411,-334.9601,6,6
211.0583846,-341.8027,6,6
215.5611092,-348.56114,6,6
220.0543312,-355.3302,6,6
224.3910166,-362.27485,6,6
228.7276965,-369.21936,6,6
233.0643699,-376.16402,6,6
235.8739228,-384.04828,6,6
237.1158189,-392.897,6,6
238.1857836,-401.73031,6,6
236.0062248,-410.26716,6,6
233.8266539,-418.80416,6,6
230.4028601,-426.40293,6,6
225.4099112,-432.55919,6,6
220.4169584,-438.71559,6,6
215.5493848,-445.04297,6,6
210.1694119,-450.58542,6,6
204.8343189,-456.21105,6,6
199.6842602,-462.1383,6,6
194.5341985,-468.06554,6,6
189.3841339,-473.99277,6,6
184.2340664,-479.91999,6,6
179.0839959,-485.84721,6,6
173.9338657,-491.77442,6,6
168.7838657,-497.70147,6,6
163.6338657,-503.62867,6,6
158.4836855,-509.55586,6,6
153.3336011,-515.48289,6,6
148.1216349,-521.31432,6,6
142.8537112,-527.05849,6,6
137.5858657,-532.8025,6,6
132.3175457,-538.54666,6,6
127.0494596,-544.29065,6,6
121.7818657,-550.03465,6,6
116.7603147,-556.14883,6,6
112.1877508,-562.82453,6,6
107.8438368,-569.78284,6,6
103.4998657,-576.74115,6,6
99.15644751,-583.69945,6,6
94.81205898,-590.65774,6,6
90.46786573,-597.61603,6,6
87.00416317,-605.36806,6,6
83.64597265,-613.21536,6,6
80.28777261,-621.06282,6,6
