Loading track data from high_fidel_track.csv...
--------------------------------------------------------------------------------
SIM PHYSICS | MULTI-POINT VISION | FREE RACING LINE | AUTO-STOP
--------------------------------------------------------------------------------
C:\Users\zinov\AppData\Roaming\Python\Python312\site-packages\stable_baselines3\common\on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
...
Gen  6914 | Result: off_track    | Prog:   2.0% | Reward:   1.06 | Max Spd:  12.7 m/s | Time:  17.1s
Gen  6915 | Result: off_track    | Prog:   3.9% | Reward:   2.08 | Max Spd:  17.4 m/s | Time:  33.3s
Gen  6916 | Result: off_track    | Prog:   0.7% | Reward:   0.41 | Max Spd:  13.7 m/s | Time:   5.3s
Gen  6917 | Result: off_track    | Prog:   0.1% | Reward:   0.01 | Max Spd:   8.3 m/s | Time:   3.1s
Gen  6918 | Result: off_track    | Prog:   4.8% | Reward:   2.83 | Max Spd:  19.4 m/s | Time:  23.2s
Gen  6919 | Result: off_track    | Prog:   3.1% | Reward:   1.79 | Max Spd:  20.4 m/s | Time:  19.7s
Gen  6920 | Result: off_track    | Prog:   3.4% | Reward:   2.03 | Max Spd:  22.0 m/s | Time:  15.5s
Gen  6921 | Result: off_track    | Prog:   0.1% | Reward:  -0.03 | Max Spd:   6.2 m/s | Time:   2.8s
Gen  6922 | Result: off_track    | Prog:   1.0% | Reward:   0.50 | Max Spd:  11.0 m/s | Time:  10.7s
Gen  6923 | Result: off_track    | Prog:   5.5% | Reward:   2.89 | Max Spd:  18.2 m/s | Time:  42.8s
Gen  6924 | Result: off_track    | Prog:   4.9% | Reward:   2.98 | Max Spd:  25.4 m/s | Time:  14.9s
Gen  6925 | Result: off_track    | Prog:   4.5% | Reward:   2.56 | Max Spd:  20.8 m/s | Time:  28.0s
Gen  6926 | Result: off_track    | Prog:   0.5% | Reward:   0.24 | Max Spd:  11.5 m/s | Time:   7.3s
Gen  6927 | Result: off_track    | Prog:   4.9% | Reward:   2.87 | Max Spd:  22.0 m/s | Time:  23.2s
Gen  6928 | Result: off_track    | Prog:   4.9% | Reward:   2.85 | Max Spd:  19.4 m/s | Time:  23.0s
Gen  6929 | Result: off_track    | Prog:   0.3% | Reward:   0.11 | Max Spd:   8.4 m/s | Time:   3.4s
Gen  6930 | Result: off_track    | Prog:   2.0% | Reward:   1.14 | Max Spd:  19.6 m/s | Time:  13.1s
Gen  6931 | Result: off_track    | Prog:   5.1% | Reward:   3.04 | Max Spd:  22.8 m/s | Time:  21.0s
Gen  6932 | Result: off_track    | Prog:   1.9% | Reward:   1.05 | Max Spd:  15.9 m/s | Time:  15.4s
Gen  6933 | Result: off_track    | Prog:   0.1% | Reward:  -0.09 | Max Spd:   5.6 m/s | Time:   9.7s
Gen  6934 | Result: off_track    | Prog:   1.2% | Reward:   0.61 | Max Spd:  12.1 m/s | Time:  10.9s
Gen  6935 | Result: off_track    | Prog:   3.0% | Reward:   1.73 | Max Spd:  14.6 m/s | Time:  18.6s
Gen  6936 | Result: off_track    | Prog:   1.9% | Reward:   0.76 | Max Spd:  11.5 m/s | Time:  28.8s
Gen  6937 | Result: off_track    | Prog:   4.1% | Reward:   2.34 | Max Spd:  19.0 m/s | Time:  25.7s
Gen  6938 | Result: off_track    | Prog:   5.4% | Reward:   3.05 | Max Spd:  20.3 m/s | Time:  33.8s
Gen  6939 | Result: off_track    | Prog:   0.5% | Reward:   0.12 | Max Spd:   9.3 m/s | Time:  13.6s
Gen  6940 | Result: off_track    | Prog:   3.4% | Reward:   2.06 | Max Spd:  19.6 m/s | Time:  14.9s
Gen  6941 | Result: off_track    | Prog:   3.8% | Reward:   2.29 | Max Spd:  19.4 m/s | Time:  16.2s
Gen  6942 | Result: off_track    | Prog:   4.9% | Reward:   2.65 | Max Spd:  21.3 m/s | Time:  37.6s
Gen  6943 | Result: off_track    | Prog:   1.3% | Reward:   0.59 | Max Spd:  12.7 m/s | Time:  13.6s
Gen  6944 | Result: off_track    | Prog:   2.8% | Reward:   1.42 | Max Spd:  14.8 m/s | Time:  27.9s
Gen  6945 | Result: off_track    | Prog:   1.3% | Reward:   0.72 | Max Spd:  13.1 m/s | Time:  10.4s
Gen  6946 | Result: off_track    | Prog:   5.0% | Reward:   2.94 | Max Spd:  21.1 m/s | Time:  23.1s
Gen  6947 | Result: off_track    | Prog:   0.3% | Reward:   0.06 | Max Spd:   7.5 m/s | Time:   6.2s
Gen  6948 | Result: off_track    | Prog:   0.1% | Reward:  -0.01 | Max Spd:   6.1 m/s | Time:   4.2s
Gen  6949 | Result: off_track    | Prog:   5.0% | Reward:   3.00 | Max Spd:  22.4 m/s | Time:  19.2s
Gen  6950 | Result: off_track    | Prog:   0.3% | Reward:  -0.00 | Max Spd:   5.9 m/s | Time:  10.1s
Gen  6951 | Result: off_track    | Prog:   1.1% | Reward:   0.45 | Max Spd:  10.1 m/s | Time:  16.7s
Gen  6952 | Result: off_track    | Prog:   1.3% | Reward:   0.69 | Max Spd:  18.2 m/s | Time:   9.3s
Gen  6953 | Result: off_track    | Prog:   4.9% | Reward:   2.72 | Max Spd:  19.6 m/s | Time:  31.5s
Gen  6954 | Result: off_track    | Prog:   5.0% | Reward:   2.90 | Max Spd:  21.2 m/s | Time:  27.0s
Gen  6955 | Result: off_track    | Prog:   0.2% | Reward:   0.04 | Max Spd:   6.4 m/s | Time:   5.2s
Gen  6956 | Result: off_track    | Prog:   4.7% | Reward:   2.71 | Max Spd:  21.2 m/s | Time:  26.2s
