x_m;y_m;w_tr_right_m;w_tr_left_m;z_m
0.00000000;0.00000000;6.00000000;6.00000000;0.00000000
4.28322014;-7.00171000;6.00000000;6.00000000;0.00000000
8.56643413;-14.00342000;6.00000000;6.00000000;0.00000000
12.84964195;-21.00514000;6.00000000;6.00000000;0.00000000
17.13284362;-28.00686000;6.00000000;6.00000000;0.00000000
21.41603914;-35.00859000;6.00000000;6.00000000;0.00000000
25.69922849;-42.01033000;6.00000000;6.00000000;0.00000000
29.98241169;-49.01208000;6.00000000;6.00000000;0.10000000
34.26558873;-56.01383000;6.00000000;6.00000000;0.10000000
38.54875961;-63.01559000;6.00000000;6.00000000;0.00000000
42.87059554;-69.97458000;6.00000000;6.00000000;0.00000000
47.28122494;-76.83555000;6.00000000;6.00000000;0.00000000
51.59566791;-83.80394000;6.00000000;6.00000000;0.00000000
55.91010483;-90.77234000;6.00000000;6.00000000;0.00000000
60.22486573;-97.74074000;6.00000000;6.00000000;0.00000000
64.53914996;-104.70915000;6.00000000;6.00000000;0.00000000
68.85337928;-111.67757000;6.00000000;6.00000000;0.10000000
73.16779199;-118.64599000;6.00000000;6.00000000;0.10000000
77.48219866;-125.61442000;6.00000000;6.00000000;0.20000000
81.79659927;-132.58286000;6.00000000;6.00000000;0.20000000
86.11099384;-139.55130000;6.00000000;6.00000000;0.20000000
90.42538235;-146.51975000;6.00000000;6.00000000;0.10000000
94.73986573;-153.48821000;6.00000000;6.00000000;0.00000000
99.05414123;-160.45667000;6.00000000;6.00000000;0.00000000
103.36851110;-167.42529000;6.00000000;6.00000000;0.00000000
107.68287540;-174.39377000;6.00000000;6.00000000;0.00000000
111.99723360;-181.36225000;6.00000000;6.00000000;0.00000000
116.31158530;-188.33090000;6.00000000;6.00000000;0.00000000
120.62593150;-195.29939000;6.00000000;6.00000000;0.00000000
124.94027110;-202.26805000;6.00000000;6.00000000;0.00000000
129.25460510;-209.23656000;6.00000000;6.00000000;0.00000000
133.56893260;-216.20523000;6.00000000;6.00000000;0.00000000
137.88292880;-223.17375000;6.00000000;6.00000000;0.00000000
142.19757000;-230.14244000;6.00000000;6.00000000;0.00000000
146.51187930;-237.11113000;6.00000000;6.00000000;0.00000000
150.82618310;-244.07967000;6.00000000;6.00000000;0.00000000
155.14048030;-251.04837000;6.00000000;6.00000000;0.00000000
159.45477150;-258.01708000;6.00000000;6.00000000;0.10000000
163.76905660;-264.98580000;6.00000000;6.00000000;0.10000000
168.08333570;-271.95452000;6.00000000;6.00000000;0.10000000
172.39760870;-278.92325000;6.00000000;6.00000000;0.10000000
176.71187570;-285.89199000;6.00000000;6.00000000;0.00000000
181.02586570;-292.86073000;6.00000000;6.00000000;0.00000000
185.34039150;-299.82948000;6.00000000;6.00000000;0.00000000
189.65464030;-306.79824000;6.00000000;6.00000000;0.00000000
193.96960910;-313.76701000;6.00000000;6.00000000;0.00000000
198.28311980;-320.73577000;6.00000000;6.00000000;0.10000000
202.53166880;-327.77239000;6.00000000;6.00000000;0.20000000
206.63411000;-334.96010000;6.00000000;6.00000000;0.30000000
211.05838460;-341.80270000;6.00000000;6.00000000;0.40000000
215.56110920;-348.56114000;6.00000000;6.00000000;0.50000000
220.05433120;-355.33020000;6.00000000;6.00000000;0.60000000
224.39101660;-362.27485000;6.00000000;6.00000000;0.70000000
228.72769650;-369.21936000;6.00000000;6.00000000;0.80000000
233.06436990;-376.16402000;6.00000000;6.00000000;0.90000000
235.87392280;-384.04828000;6.00000000;6.00000000;1.00000000
237.11581890;-392.89700000;6.00000000;6.00000000;1.00000000
238.18578360;-401.73031000;6.00000000;6.00000000;1.00000000
236.00622480;-410.26716000;6.00000000;6.00000000;1.00000000
233.82665390;-418.80416000;6.00000000;6.00000000;1.00000000
230.40286010;-426.40293000;6.00000000;6.00000000;1.00000000
225.40991120;-432.55919000;6.00000000;6.00000000;1.00000000
220.41695840;-438.71559000;6.00000000;6.00000000;1.00000000
215.54938480;-445.04297000;6.00000000;6.00000000;1.00000000
210.16941190;-450.58542000;6.00000000;6.00000000;1.00000000
