# x_m,y_m,w_tr_right_m,w_tr_left_m
7.497178973,70.32399497,2.197480453,2.197480453
6.186989611,70.17247647,2.197480453,2.197480453
4.850061691,69.9229166,2.197480453,2.197480453
3.513133771,69.52183822,2.197480453,2.197480453
2.680722381,69.2721148,2.197480453,2.197480453
1.997948794,68.88011282,2.197480453,2.197480453
1.391874804,68.38099306,2.197480453,2.197480453
0.910580752,67.68579054,2.197480453,2.197480453
0.661020874,67.01732658,2.197480453,2.197480453
0.536240935,66.34886262,2.197480453,2.197480453
0.536240935,65.43083878,2.197480453,2.197480453
0.785800813,64.85150335,2.197480453,2.197480453
0.930733871,64.51505161,2.197480453,2.197480453
1.240356306,64.10282372,2.197480453,2.197480453
1.609681681,63.61110799,2.197480453,2.197480453
29.97414024,24.17791623,2.197480453,2.197480453
30.34329595,23.66470397,2.197480453,2.197480453
30.82679744,22.9925245,2.197480453,2.197480453
31.04825054,22.46620661,2.197480453,2.197480453
31.18314103,21.88810453,2.197480453,2.197480453
31.30775008,21.35406574,2.197480453,2.197480453
31.30775008,20.91175437,2.197480453,2.197480453
31.30775008,20.43000264,2.197480453,2.197480453
31.30775008,20.00606112,2.197480453,2.197480453
31.4079585,19.5821196,2.197480453,2.197480453
31.61992926,18.96547739,2.197480453,2.197480453
31.7646371,18.54450912,2.197480453,2.197480453
31.97963722,18.15613448,2.197480453,2.197480453
32.34576853,17.6229959,2.197480453,2.197480453
32.65408963,17.28255802,2.197480453,2.197480453
33.12299465,16.86503985,2.197480453,2.197480453
33.68182665,16.47321511,2.197480453,2.197480453
34.2342353,16.17131737,2.197480453,2.197480453
34.75242394,15.88812125,2.197480453,2.197480453
35.30051246,15.7537992,2.197480453,2.197480453
37.20182594,15.67029557,2.197480453,2.197480453
37.81195807,15.52076827,2.197480453,2.197480453
38.70673098,15.21106156,2.197480453,2.197480453
39.31359942,14.88515073,2.197480453,2.197480453
40.0478353,14.35320433,2.197480453,2.197480453
40.48987527,13.87370335,2.197480453,2.197480453
40.87197761,13.37172576,2.197480453,2.197480453
41.11547421,12.91470138,2.197480453,2.197480453
41.50132265,11.85830078,2.197480453,2.197480453
41.84784695,10.90956436,2.197480453,2.197480453
41.96209313,10.38982901,2.197480453,2.197480453
42.09215037,9.798165082,2.197480453,2.197480453
46.8063046,-7.719244427,2.197480453,2.197480453
55.3643769,-38.35797848,2.197480453,2.197480453
55.76073805,-39.77699007,2.197480453,2.197480453
56.47482316,-42.01252713,2.197480453,2.197480453
56.75470442,-42.8887321,2.197480453,2.197480453
57.10664249,-43.67605143,2.197480453,2.197480453
57.46626167,-44.48055416,2.197480453,2.197480453
57.96239778,-45.15562834,2.197480453,2.197480453
58.37057137,-45.71101515,2.197480453,2.197480453
58.89813021,-46.24331731,2.197480453,2.197480453
59.50992326,-46.79515951,2.197480453,2.197480453
60.07021105,-47.24258357,2.197480453,2.197480453
60.69902324,-47.62551407,2.197480453,2.197480453
61.27170393,-47.97426193,2.197480453,2.197480453
62.10981981,-48.36718998,2.197480453,2.197480453
62.96127416,-48.76637142,2.197480453,2.197480453
63.93176282,-49.44342623,2.197480453,2.197480453
64.52026653,-49.93115876,2.197480453,2.197480453
64.93947466,-50.34633604,2.197480453,2.197480453
65.35868279,-50.83003772,2.197480453,2.197480453
65.83596033,-51.47945174,2.197480453,2.197480453
66.54375191,-52.57136378,2.197480453,2.197480453
66.87428139,-53.2364536,2.197480453,2.197480453
67.20078003,-53.97812951,2.197480453,2.197480453
67.45069257,-54.67949695,2.197480453,2.197480453
67.61496685,-55.14052477,2.197480453,2.197480453
67.78570135,-55.61968289,2.197480453,2.197480453
67.96261018,-56.77553758,2.197480453,2.197480453
68.09980655,-57.6719262,2.197480453,2.197480453
68.1992099,-58.32138971,2.197480453,2.197480453
68.1992099,-61.22435602,2.197480453,2.197480453
68.08648712,-62.15608785,2.197480453,2.197480453
67.78570135,-63.15469039,2.197480453,2.197480453
67.45069257,-64.17558316,2.197480453,2.197480453
66.44146776,-67.06439764,2.197480453,2.197480453
65.03254543,-71.09731006,2.197480453,2.197480453
64.77775201,-71.82663311,2.197480453,2.197480453
64.5780041,-72.60129206,2.197480453,2.197480453
64.4637924,-73.04422594,2.197480453,2.197480453
64.27039886,-74.11257,2.197480453,2.197480453
64.27039886,-75.0130955,2.197480453,2.197480453
64.27039886,-76.43967056,2.197480453,2.197480453
64.43980464,-77.38477653,2.197480453,2.197480453
64.72066161,-78.53049462,2.197480453,2.197480453
65.07730537,-80.17997202,2.197480453,2.197480453
65.38261066,-81.42542377,2.197480453,2.197480453
65.68562154,-82.66151578,2.197480453,2.197480453
65.87247578,-83.42376243,2.197480453,2.197480453
67.72720219,-92.43574482,2.197480453,2.197480453
69.66003419,-102.4247085,2.197480453,2.197480453
71.86952852,-113.4239528,2.197480453,2.197480453
74.27688236,-125.4081758,2.197480453,2.197480453
77.39579337,-148.3288033,2.197480453,2.197480453
78.13387055,-153.7528734,2.197480453,2.197480453
78.82414595,-158.8256521,2.197480453,2.197480453
79.14170831,-162.420831,2.197480453,2.197480453
79.35344225,-164.8179079,2.197480453,2.197480453
79.59555753,-167.5589373,2.197480453,2.197480453
79.93304936,-170.0391377,2.197480453,2.197480453
80.12887875,-172.2561564,2.197480453,2.197480453
80.33800838,-173.7930333,2.197480453,2.197480453
80.33800838,-174.9791245,2.197480453,2.197480453
80.11028889,-176.2183918,2.197480453,2.197480453
79.76430345,-177.5881083,2.197480453,2.197480453
79.53413829,-178.2240481,2.197480453,2.197480453
79.23519223,-178.7404095,2.197480453,2.197480453
78.92371772,-179.278411,2.197480453,2.197480453
78.36009556,-180.0992553,2.197480453,2.197480453
78.03971124,-180.5658545,2.197480453,2.197480453
77.43064507,-181.3276518,2.197480453,2.197480453
76.87840114,-182.2815277,2.197480453,2.197480453
76.58272532,-183.4311451,2.197480453,2.197480453
76.36531,-184.7138954,2.197480453,2.197480453
76.36531,-185.6650875,2.197480453,2.197480453
76.36531,-186.311898,2.197480453,2.197480453
76.60990224,-187.2304778,2.197480453,2.197480453
76.85503826,-188.1510997,2.197480453,2.197480453
78.3806055,-194.2098383,2.197480453,2.197480453
79.29209634,-197.6329928,2.197480453,2.197480453
82.99029482,-212.517063,2.197480453,2.197480453
83.10753066,-212.9826612,2.197480453,2.197480453
83.38543427,-213.4422223,2.197480453,2.197480453
83.69391572,-213.834884,2.197480453,2.197480453
84.62230422,-214.558689,2.197480453,2.197480453
85.27494467,-214.8665383,2.197480453,2.197480453
86.19028316,-214.9445268,2.197480453,2.197480453
86.93733072,-214.9445268,2.197480453,2.197480453
87.60228514,-214.6736194,2.197480453,2.197480453
88.05562759,-214.4889243,2.197480453,2.197480453
88.55456554,-214.0702349,2.197480453,2.197480453
88.98965918,-213.5612574,2.197480453,2.197480453
89.45348541,-212.7498621,2.197480453,2.197480453
89.60946237,-212.2723951,2.197480453,2.197480453
89.75723002,-210.6633696,2.197480453,2.197480453
89.90761431,-209.0258518,2.197480453,2.197480453
90.16359106,-206.8706666,2.197480453,2.197480453
90.39906639,-204.8880922,2.197480453,2.197480453
90.50769922,-203.7052014,2.197480453,2.197480453
90.59153679,-203.2675959,2.197480453,2.197480453
90.86138273,-202.64287,2.197480453,2.197480453
91.09939262,-202.226507,2.197480453,2.197480453
91.34573225,-201.9122411,2.197480453,2.197480453
91.6746871,-201.4925794,2.197480453,2.197480453
91.80767964,-201.3229152,2.197480453,2.197480453
92.09688446,-200.812193,2.197480453,2.197480453
92.28159402,-200.3442621,2.197480453,2.197480453
92.42936167,-199.855808,2.197480453,2.197480453
92.57654617,-199.3692814,2.197480453,2.197480453
92.57654617,-198.9609927,2.197480453,2.197480453
92.57654617,-197.6433979,2.197480453,2.197480453
92.42936167,-197.1385251,2.197480453,2.197480453
92.28159402,-196.6316519,2.197480453,2.197480453
91.92859353,-195.9769072,2.197480453,2.197480453
91.57969769,-195.5746508,2.197480453,2.197480453
91.27595308,-195.1354525,2.197480453,2.197480453
90.69942183,-194.4707459,2.197480453,2.197480453
90.32492756,-193.7761345,2.197480453,2.197480453
89.95835821,-192.8450539,2.197480453,2.197480453
89.79827659,-192.245774,2.197480453,2.197480453
89.76133468,-191.3263309,2.197480453,2.197480453
89.77980563,-190.7065277,2.197480453,2.197480453
90.06097463,-189.6926774,2.197480453,2.197480453
90.28515664,-188.8843131,2.197480453,2.197480453
90.4285501,-188.3672593,2.197480453,2.197480453
90.47964964,-187.7060235,2.197480453,2.197480453
90.57405675,-187.1806274,2.197480453,2.197480453
90.57405675,-186.2734982,2.197480453,2.197480453
90.73118315,-185.7069257,2.197480453,2.197480453
90.73118315,-184.2006465,2.197480453,2.197480453
90.73118315,-182.7118874,2.197480453,2.197480453
90.57405675,-181.8991653,2.197480453,2.197480453
90.52685319,-181.1529387,2.197480453,2.197480453
90.41328863,-180.5655363,2.197480453,2.197480453
89.88240284,-177.8195777,2.197480453,2.197480453
89.64978569,-176.6163866,2.197480453,2.197480453
89.48606586,-175.305402,2.197480453,2.197480453
89.29205322,-174.3018892,2.197480453,2.197480453
88.98318412,-172.7042918,2.197480453,2.197480453
88.63930776,-170.9256224,2.197480453,2.197480453
88.4960946,-169.7788448,2.197480453,2.197480453
88.29692762,-168.7486717,2.197480453,2.197480453
88.15552901,-168.0173001,2.197480453,2.197480453
88.02223247,-167.3278359,2.197480453,2.197480453
87.91572559,-166.7769387,2.197480453,2.197480453
87.72035161,-165.7663845,2.197480453,2.197480453
87.61342178,-164.8929697,2.197480453,2.197480453
87.46535668,-164.1271164,2.197480453,2.197480453
87.39209012,-163.5286668,2.197480453,2.197480453
87.15815261,-162.3186463,2.197480453,2.197480453
86.93890967,-161.184632,2.197480453,2.197480453
86.70249725,-159.9618102,2.197480453,2.197480453
86.59471154,-159.4042984,2.197480453,2.197480453
86.33163321,-158.0435496,2.197480453,2.197480453
86.16352743,-157.1740377,2.197480453,2.197480453
86.03296331,-156.0875581,2.197480453,2.197480453
85.82310129,-155.0020659,2.197480453,2.197480453
85.64181931,-154.0644013,2.197480453,2.197480453
85.51251606,-153.3955919,2.197480453,2.197480453
85.24273407,-151.6516495,2.197480453,2.197480453
85.12818293,-151.0591441,2.197480453,2.197480453
84.95185656,-150.1471119,2.197480453,2.197480453
84.78797858,-149.2994679,2.197480453,2.197480453
84.6619229,-148.6474564,2.197480453,2.197480453
84.6619229,-147.8208904,2.197480453,2.197480453
84.80838689,-147.2071612,2.197480453,2.197480453
84.95185656,-146.6725014,2.197480453,2.197480453
85.07548141,-146.2117961,2.197480453,2.197480453
85.31669023,-145.7650858,2.197480453,2.197480453
85.57780303,-145.281514,2.197480453,2.197480453
85.75721979,-144.7861312,2.197480453,2.197480453
85.84698696,-144.4516013,2.197480453,2.197480453
85.99532653,-143.8987931,2.197480453,2.197480453
85.99532653,-142.4705271,2.197480453,2.197480453
85.80210337,-141.8379719,2.197480453,2.197480453
85.64497815,-141.3235905,2.197480453,2.197480453
85.39199443,-140.7799479,2.197480453,2.197480453
85.15102099,-140.3620096,2.197480453,2.197480453
84.87239546,-140.0306711,2.197480453,2.197480453
84.39679306,-139.4650899,2.197480453,2.197480453
84.00263197,-138.9274646,2.197480453,2.197480453
83.62933378,-138.2800256,2.197480453,2.197480453
83.33995503,-137.6887106,2.197480453,2.197480453
83.0989816,-136.8565992,2.197480453,2.197480453
83.04250345,-136.1675658,2.197480453,2.197480453
83.15169453,-134.2284827,2.197480453,2.197480453
83.29709811,-131.6463157,2.197480453,2.197480453
83.43390769,-129.2167663,2.197480453,2.197480453
83.58735452,-126.4917622,2.197480453,2.197480453
83.81962925,-122.3668834,2.197480453,2.197480453
83.99444637,-119.2623725,2.197480453,2.197480453
84.07793617,-116.4566919,2.197480453,2.197480453
84.99391171,-101.5132466,2.197480453,2.197480453
85.42297027,-94.51348203,2.197480453,2.197480453
85.47736518,-93.62607047,2.197480453,2.197480453
85.7330346,-92.14613728,2.197480453,2.197480453
85.82976045,-90.56812857,2.197480453,2.197480453
85.82976045,-88.13442623,2.197480453,2.197480453
85.7330346,-86.78758607,2.197480453,2.197480453
85.60519989,-85.95931539,2.197480453,2.197480453
85.41238435,-84.71001891,2.197480453,2.197480453
85.10642982,-83.4961104,2.197480453,2.197480453
84.75351449,-82.39415027,2.197480453,2.197480453
83.95405322,-80.26945591,2.197480453,2.197480453
83.42107904,-79.26832873,2.197480453,2.197480453
82.9183677,-78.32404662,2.197480453,2.197480453
82.5130004,-77.56261344,2.197480453,2.197480453
81.88167199,-76.37673981,2.197480453,2.197480453
81.45483646,-75.29262945,2.197480453,2.197480453
80.86430746,-73.79275756,2.197480453,2.197480453
80.44650693,-72.11639143,2.197480453,2.197480453
80.16304448,-70.97903804,2.197480453,2.197480453
79.999961,-69.61717468,2.197480453,2.197480453
79.96309304,-69.30930096,2.197480453,2.197480453
79.84221958,-68.29992135,2.197480453,2.197480453
79.84221958,-65.79272482,2.197480453,2.197480453
80.08150274,-63.25749629,2.197480453,2.197480453
80.41769752,-61.60815728,2.197480453,2.197480453
80.92906463,-59.77875942,2.197480453,2.197480453
81.46203881,-58.38150279,2.197480453,2.197480453
82.4919754,-56.18478489,2.197480453,2.197480453
83.6299473,-54.30497055,2.197480453,2.197480453
84.67017965,-52.58661205,2.197480453,2.197480453
85.24340756,-51.36399308,2.197480453,2.197480453
85.63903014,-50.52018269,2.197480453,2.197480453
86.32362761,-48.34862398,2.197480453,2.197480453
86.48207939,-47.43392506,2.197480453,2.197480453
86.69082409,-46.22889883,2.197480453,2.197480453
86.69082409,-45.30923069,2.197480453,2.197480453
86.69082409,-43.33578576,2.197480453,2.197480453
86.58645174,-41.98174325,2.197480453,2.197480453
86.4028535,-40.9301996,2.197480453,2.197480453
86.16517583,-40.04431008,2.197480453,2.197480453
85.76482568,-38.55209589,2.197480453,2.197480453
85.22166748,-37.38664154,2.197480453,2.197480453
84.58793006,-36.02683138,2.197480453,2.197480453
84.04048146,-35.14670952,2.197480453,2.197480453
83.2410202,-34.00873762,2.197480453,2.197480453
82.49917776,-33.13725282,2.197480453,2.197480453
81.7108857,-32.21120098,2.197480453,2.197480453
80.74180344,-31.37267614,2.197480453,2.197480453
80.01053785,-30.73992866,2.197480453,2.197480453
78.97002441,-30.03303834,2.197480453,2.197480453
78.0412339,-29.22937704,2.197480453,2.197480453
77.38272397,-28.46614108,2.197480453,2.197480453
76.72289003,-27.47620275,2.197480453,2.197480453
76.20432056,-26.53989676,2.197480453,2.197480453
