x_m,y_m,w_tr_right_m,w_tr_left_m
1865.725548,-2054.941545,4,4
1851.052689,-2032.106464,4,4
1847.678258,-2027.429403,4,4
1843.845018,-2022.606172,4,4
1840.677148,-2019.993157,4,4
1836.841977,-2017.306107,4,4
1835.001683,-2016.38751,4,4
1832.962161,-2015.463418,4,4
1830.827076,-2014.647953,4,4
1828.36438,-2013.834577,4,4
1826.942485,-2013.494955,4,4
1825.191753,-2013.201894,4,4
1823.400232,-2013.096855,4,4
1821.475116,-2013.188402,4,4
1819.186877,-2013.536964,4,4
1817.436027,-2014.022735,4,4
1815.606051,-2014.795606,4,4
1810.485871,-2017.391444,4,4
1807.037964,-2019.510468,4,4
1803.913065,-2021.794167,4,4
1800.422095,-2024.957867,4,4
1795.918602,-2029.462164,4,4
1789.465995,-2037.250567,4,4
1783.845312,-2045.34007,4,4
1735.462564,-2131.168247,4,4
1729.39152,-2140.346771,4,4
1722.198111,-2149.683461,4,4
1712.523999,-2159.63038,4,4
1696.020555,-2173.716899,4,4
1681.235869,-2183.578332,4,4
1664.960911,-2193.509847,4,4
1655.578159,-2198.313253,4,4
1618.534906,-2214.814255,4,4
1589.582943,-2226.34254,4,4
1578.75124,-2229.459105,4,4
1569.200584,-2230.797457,4,4
1559.578971,-2231.610896,4,4
1551.000073,-2231.540772,4,4
1541.04367,-2230.553598,4,4
1531.129507,-2228.810985,4,4
1518.802773,-2224.954448,4,4
1507.079004,-2219.378847,4,4
1413.371456,-2167.954927,4,4
1403.757004,-2163.104996,4,4
1385.9916,-2156.104745,4,4
1361.943224,-2148.674711,4,4
1341.07105,-2144.325422,4,4
1324.328352,-2142.059678,4,4
1236.225659,-2132.377708,4,4
1227.428134,-2131.978337,4,4
1220.493426,-2132.453883,4,4
1214.335021,-2133.696382,4,4
1207.86028,-2136.076122,4,4
1182.52884,-2147.212917,4,4
1170.085932,-2151.163001,4,4
1160.863175,-2152.231541,4,4
1152.741558,-2151.594867,4,4
1145.274752,-2149.941575,4,4
1134.574412,-2145.483857,4,4
1127.275509,-2140.341528,4,4
1117.678188,-2131.285791,4,4
1107.406751,-2121.888689,4,4
1096.500366,-2110.994166,4,4
1091.248496,-2104.706875,4,4
1087.242202,-2098.954788,4,4
1083.308865,-2092.62615,4,4
1079.626679,-2085.714775,4,4
1076.346302,-2078.180335,4,4
1067.995452,-2055.762955,4,4
1060.987907,-2042.172596,4,4
1055.840056,-2035.476473,4,4
1050.100207,-2029.843186,4,4
1043.461115,-2024.796907,4,4
1011.724246,-2003.722571,4,4
1003.024446,-1997.239424,4,4
998.533377,-1992.797848,4,4
994.3587345,-1987.730844,4,4
990.0016515,-1979.999582,4,4
987.0757193,-1972.786445,4,4
984.6471123,-1964.073919,4,4
