Segment_ID;road_outer_left X;road_outer_left Y;road_outer_left Z;road_inner_left X;road_inner_left Y;road_inner_left Z;road_center X;road_center Y;road_center Z;road_inner_right X;road_inner_right Y;road_inner_right Z;road_outer_right X;road_outer_right Y;road_outer_right Z
0;-4.739;-5.762;-0.1794;-1.58;-1.921;-0.0618;0;0;0;1.579;1.92;0.0618;4.742;5.761;0.1947
1;-7.7556;-3.2791;-0.1794;-4.5988;0.5599;-0.0618;-3.0204;2.4794;0.0007;-1.442;4.3989;0.0632;1.7214;8.2353;0.2056
2;-13.2793;1.2657;-0.1893;-10.1262;5.1011;-0.0643;-8.5496;7.0188;0.0032;-6.973;8.9366;0.0706;-3.8725;12.7922;0.1857
3;-18.8103;5.8141;-0.1868;-15.6602;9.6471;-0.0544;-14.0851;11.5635;0.0044;-12.5101;13.48;0.0632;-9.3599;17.313;0.1856
4;-24.3286;10.349;-0.1794;-21.1805;14.1808;-0.0518;-19.6065;16.0966;0.0044;-18.0324;18.0125;0.0606;-14.9081;21.8531;0.1856
5;-29.8301;14.8668;-0.1893;-26.6831;18.6988;-0.0644;-25.1096;20.6147;-0.0019;-23.536;22.5307;0.0606;-20.39;26.363;0.1856
6;-35.3686;19.4117;-0.1894;-32.2216;23.2452;-0.0644;-30.648;25.1619;0.0032;-29.0745;27.0787;0.0707;-25.9274;30.9122;0.1856
7;-40.9099;23.9563;-0.1894;-37.7619;27.7923;-0.0618;-36.188;29.7103;0.0044;-34.614;31.6283;0.0706;-31.4477;35.4579;0.1882
8;-46.4564;28.4898;-0.1868;-43.2762;32.3173;-0.0444;-41.7014;34.237;0.0093;-40.1267;36.1567;0.0631;-36.9773;39.996;0.1855
9;-51.933;32.9913;-0.1894;-48.7814;36.8344;-0.0644;-47.2056;38.756;-0.002;-45.6298;40.6775;0.0604;-42.4941;44.526;0.1854
10;-57.4563;37.5168;-0.1795;-54.3021;41.3639;-0.0646;-52.7251;43.2874;0.0028;-51.148;45.211;0.0702;-47.9938;49.0581;0.1851
11;-62.9901;42.0501;-0.1896;-59.8328;45.9012;-0.0649;-58.2542;47.8268;-0.0025;-56.6755;49.7524;0.0598;-53.5183;53.6035;0.1845
12;-68.4655;46.535;-0.1897;-65.3048;50.3901;-0.0652;-63.7243;52.3177;-0.0029;-62.1439;54.2453;0.0594;-58.9832;58.1004;0.184
13;-73.9543;51.0307;-0.1897;-70.79;54.8899;-0.0652;-69.2078;56.8195;-0.0029;-67.6256;58.7492;0.0594;-64.4614;62.6085;0.1839
14;-79.4548;55.5395;-0.1892;-76.2937;59.4052;-0.0545;-74.7099;61.3369;0.0029;-73.1262;63.2687;0.0602;-69.9586;67.1323;0.185
15;-84.9716;60.0558;-0.1877;-81.8005;63.9233;-0.0626;-80.215;65.8571;-0.0001;-78.6295;67.7909;0.0625;-75.4585;71.6584;0.1876
16;-90.4812;64.5697;-0.1849;-87.306;68.4408;-0.0593;-85.7185;70.3763;0.0085;-84.131;72.3119;0.0764;-80.9787;76.1895;0.2019
17;-95.9873;69.0825;-0.1699;-92.8078;72.9567;-0.0514;-91.218;74.8938;0.0204;-89.6283;76.8309;0.0922;-86.4488;80.7051;0.2108
18;-101.5142;73.6142;-0.1721;-98.3273;77.49;-0.0457;-96.7354;79.4285;0.0176;-95.1434;81.3669;0.0808;-91.9595;85.2437;0.2072
19;-107.0094;78.1377;-0.1613;-103.8419;82.0228;-0.0346;-102.2479;83.9623;0.0288;-100.6539;85.9018;0.0921;-97.4659;89.7808;0.2188
20;-112.5478;82.6778;-0.1374;-109.356;86.5586;-0.0106;-107.7601;88.4989;0.0478;-106.1642;90.4393;0.1062;-102.9724;94.3201;0.243
21;-118.0678;87.214;-0.1305;-114.8664;91.0945;-0.0038;-113.2687;93.0356;0.0646;-111.6711;94.9767;0.133;-108.5146;98.8681;0.2498
22;-123.5524;91.7422;-0.1108;-120.3745;95.6314;0.0258;-118.7752;97.5731;0.0892;-117.1759;99.5148;0.1525;-113.9773;103.3983;0.2692
23;-129.0838;96.2864;-0.0881;-125.8821;100.1709;0.0384;-124.2813;102.1132;0.1017;-122.6805;104.0554;0.165;-119.465;107.9369;0.2915
24;-134.5748;100.8241;-0.0523;-131.3918;104.7149;0.064;-129.7896;106.6576;0.1322;-128.1874;108.6003;0.2004;-124.983;112.4857;0.3168
25;-140.1092;105.3753;-0.034;-136.9023;109.2615;0.0921;-135.2989;111.2046;0.1614;-133.6954;113.1477;0.2307;-130.4885;117.0339;0.3544
26;-145.6216;109.9223;0.0065;-142.4127;113.8091;0.1248;-140.8083;115.7526;0.1965;-139.2039;117.696;0.2682;-135.995;121.5829;0.3765
27;-151.137;114.4724;0.0288;-147.9269;118.3599;0.1644;-146.3219;120.3036;0.2222;-144.7169;122.2474;0.2801;-141.4711;126.1288;0.4156
28;-156.6049;118.9955;0.0627;-153.4127;122.8869;0.188;-151.8075;124.8308;0.2507;-150.2022;126.7746;0.3134;-146.9666;130.6583;0.4487
29;-162.0913;123.5176;0.1079;-158.8797;127.4034;0.233;-157.2739;129.3464;0.2905;-155.6681;131.2893;0.3481;-152.4565;135.1751;0.4732
30;-167.5668;128.0554;0.1337;-164.3513;131.9355;0.2687;-162.7436;133.8755;0.3262;-161.1358;135.8156;0.3837;-157.9203;139.6957;0.5087
31;-173.0912;132.6483;0.1696;-169.8685;136.5189;0.3017;-168.2572;138.4542;0.3607;-166.6459;140.3895;0.4196;-163.4233;144.2601;0.5546
32;-174.4751;133.801;0.1785;-171.2508;137.6693;0.3136;-169.6387;139.6035;0.3711;-168.0266;141.5376;0.4286;-164.8024;145.4059;0.5636
33;-175.8591;134.9539;0.1874;-172.6335;138.82;0.3196;-171.0207;140.7531;0.3786;-169.4078;142.6862;0.4376;-166.1821;146.5523;0.5645
34;-176.4409;135.4386;0.1912;-173.2147;139.3039;0.3234;-171.6017;141.2365;0.3824;-169.9886;143.1692;0.4413;-166.7624;147.0345;0.5675
35;-177.2436;136.1072;0.1964;-174.0168;139.9714;0.3286;-172.4034;141.9035;0.3876;-170.7899;143.8356;0.4465;-167.5631;147.6998;0.5716
36;-178.6287;137.2612;0.2053;-175.4011;141.1238;0.3404;-173.7872;143.0551;0.398;-172.1734;144.9864;0.4555;-168.9458;148.849;0.5806
37;-180.0145;138.416;0.2142;-176.7867;142.2775;0.3465;-175.1727;144.2083;0.4055;-173.5588;146.139;0.4645;-170.3309;150.0005;0.5897
38;-181.3984;139.569;0.225;-178.1712;143.4303;0.3501;-176.5576;145.3609;0.4118;-174.944;147.2915;0.4735;-171.7167;151.1527;0.5987
39;-182.7774;140.7174;0.242;-179.5522;144.5797;0.3572;-177.9396;146.5109;0.4199;-176.327;148.442;0.4825;-173.1017;152.3044;0.6095
40;-184.1489;141.8585;0.2428;-180.9274;145.7236;0.3661;-179.3166;147.6562;0.4288;-177.7058;149.5887;0.4914;-174.4843;153.4539;0.6267
41;-185.51;142.9896;0.2596;-182.2943;146.8596;0.3749;-180.6864;148.7947;0.4376;-179.0785;150.7297;0.5003;-175.8628;154.5998;0.6274
42;-186.8624;144.1093;0.2605;-183.6553;147.9875;0.3837;-182.0518;149.9265;0.4464;-180.4483;151.8656;0.5091;-177.2412;155.7437;0.6363
43;-188.2076;145.2165;0.2771;-185.013;149.1067;0.3925;-183.4156;151.0518;0.4552;-181.8183;152.9969;0.5179;-178.6236;156.8871;0.6532
44;-189.5474;146.3098;0.2781;-186.3696;150.2171;0.4013;-184.7807;152.1707;0.4639;-183.1918;154.1243;0.5266;-180.0141;158.0316;0.6537
